2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
9.779170370790977e-05,9.32220769774036e-05,9.604961376781248e-05,0.00010089170472797889,9.297596404610074e-05,9.864368125255994e-05,8.604450238395004e-05,7.879264814775382e-05,9.022754336698422e-05,9.109175683433363e-05,8.304262871538877e-05,9.22405519384432e-05,8.528483205542123e-05,0.0001285472617026573
9.779170370790977e-05,9.033638721202614e-05,9.224104270302157e-05,9.738507626697195e-05,9.202415938147189e-05,9.531849745926563e-05,8.196401504434706e-05,7.58528172586118e-05,8.64626074018403e-05,8.817029681331159e-05,7.990856143366106e-05,8.909510126185962e-05,8.274049153937075e-05,0.00012271512539658178
8.883722844418862e-05,8.738223027845409e-05,8.838999686799135e-05,9.244490676638462e-05,8.874708568669595e-05,9.124865401995444e-05,7.789846672743093e-05,7.278995379921933e-05,8.293769106355752e-05,8.504496796968435e-05,7.759329327752161e-05,8.641848464330908e-05,8.167987979052541e-05,0.00012007072763849155
8.472295481308403e-05,8.507448396224851e-05,8.498190220831387e-05,8.812688102500821e-05,8.51036183683317e-05,8.767181239615028e-05,7.534602799408095e-05,6.988034143610372e-05,8.084694158660193e-05,8.230362506377952e-05,7.662965986823662e-05,8.442774645499788e-05,8.154286258441226e-05,0.00011907502776595838
8.283349714154296e-05,8.428912526825185e-05,8.268219679107156e-05,8.442229773152506e-05,8.236487720430285e-05,8.556159960425197e-05,7.377316231976746e-05,6.880326682987621e-05,7.93215275944019e-05,8.108041212814834e-05,7.535822883963174e-05,8.241200351961957e-05,8.106245463066187e-05,0.0001181282589736617
7.947377965848887e-05,8.300838647496499e-05,7.945411425288447e-05,8.097657844974158e-05,8.012762451948704e-05,8.235193088069991e-05,7.14960284330748e-05,6.761395198412198e-05,7.746484684446791e-05,7.966124760574128e-05,7.31106424773511e-05,7.975670923882934e-05,7.94120774543525e-05,0.0001165467990885049
7.324102318353521e-05,7.856204802279928e-05,7.337617689245074e-05,7.50836153598732e-05,7.65844548969654e-05,7.643384632551297e-05,6.754572400545709e-05,6.415177228795177e-05,7.399348860474092e-05,7.681302201614054e-05,7.382336188270516e-05,8.011293284451276e-05,8.022635395278294e-05,0.00011867292056484376
7.270526786974326e-05,7.896882355148473e-05,7.354607597340796e-05,7.470075766189726e-05,7.54156797066362e-05,7.647716447666632e-05,6.852529706449357e-05,6.398557039480645e-05,7.455684045621661e-05,7.728211823902822e-05,7.544463408056214e-05,8.16258685263179e-05,8.188775164969908e-05,0.00012185168995060116
7.415303413754745e-05,7.981660819295292e-05,7.408004451355922e-05,7.590371395156031e-05,7.589669926833035e-05,7.77540185511385e-05,7.038627246205308e-05,6.564758932625973e-05,7.585413662123458e-05,7.862013109418465e-05,7.993421949075918e-05,8.638154176284417e-05,8.614514239216449e-05,0.00012818278198006727
7.886849884596056e-05,8.377964898727452e-05,7.804637901066754e-05,8.084605877997704e-05,7.96220422567702e-05,8.256439609826152e-05,7.482956463833623e-05,7.035736245409226e-05,8.063270919237878e-05,8.319233478562159e-05,8.48288851923624e-05,9.082100294857426e-05,9.147698460702797e-05,0.00013601713017197706
8.399907167918192e-05,8.871532631800739e-05,8.333347660140755e-05,8.5747072379635e-05,8.388981155946092e-05,8.819781851729795e-05,8.047651521395832e-05,7.601038528717815e-05,8.508596590562857e-05,8.839791734340477e-05,9.024107093365894e-05,9.554191107358048e-05,9.6704102304068e-05,0.00014516933088520845
9.039541756292703e-05,9.51089515832366e-05,8.939523309698821e-05,9.128110637765093e-05,8.915441714532206e-05,9.439231413222522e-05,8.70112705663978e-05,8.272753192962308e-05,8.992801474172777e-05,9.441699588265141e-05,9.18782531082339e-05,9.71035099923539e-05,9.890377061659671e-05,0.00014894126291405843
9.223988814705046e-05,9.723344753750962e-05,9.253432087848343e-05,9.435701992843494e-05,9.245400664936879e-05,9.673768260181308e-05,8.829816066356339e-05,8.571916600623898e-05,9.181444999085942e-05,9.655860817448463e-05,9.069394059473359e-05,9.554541530179178e-05,9.699605738397153e-05,0.0001490513194492042
9.041586623902595e-05,9.76664016893283e-05,9.177584283849585e-05,9.382406461022978e-05,9.212241018556261e-05,9.545876575823835e-05,8.731431931233066e-05,8.582061391504197e-05,9.062427002295302e-05,9.51335057252056e-05,9.012009170845345e-05,9.428698161804477e-05,9.519551329270334e-05,0.00014825748715941684
8.9708342046003e-05,9.599499728928413e-05,9.205698536531792e-05,9.337812240520099e-05,9.111329255188083e-05,9.442325566876333e-05,8.659724622336278e-05,8.572564140467321e-05,8.988239117629136e-05,9.321357603659354e-05,9.143146609081107e-05,9.535573162669298e-05,9.559654984043769e-05,0.0001492181397233814
8.981467516171743e-05,9.593458508205361e-05,9.286400599986469e-05,9.416559107944696e-05,9.147354550021346e-05,9.423141814222711e-05,8.721188029962096e-05,8.700345336236197e-05,9.098132401332493e-05,9.335410697256412e-05,9.665186033194562e-05,0.0001005179547294288,9.974355794448187e-05,0.000155321470321615
9.586339355178074e-05,0.0001008038089848329,9.851517304979874e-05,9.915579312011069e-05,9.634514786971174e-05,9.750709547706046e-05,9.291218452769603e-05,9.15578169277729e-05,9.699768375109179e-05,9.831029660172346e-05,0.00010405630009434638,0.00010871569077283091,0.00010661231920311064,0.0001651632521718889
