2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.004,0.0,0.003,0.005,0.005,0.001,0.017,0.004,0.001
0.034,0.042,0.011,0.022,0.05,0.068,0.022,0.118,0.053,0.013
0.088,0.098,0.031,0.046,0.116,0.158,0.058,0.235,0.116,0.04
0.124,0.142,0.046,0.063,0.178,0.222,0.092,0.305,0.162,0.07
0.128,0.154,0.052,0.066,0.212,0.239,0.112,0.326,0.192,0.087
0.101,0.13,0.044,0.055,0.199,0.212,0.11,0.293,0.183,0.088
0.058,0.081,0.031,0.036,0.136,0.133,0.079,0.208,0.126,0.057
0.015,0.024,0.012,0.012,0.045,0.04,0.025,0.084,0.041,0.015
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.004,0.001,0.003,0.001,0.006,0.003,0.004,0.001,0.003
0.032,0.053,0.011,0.04,0.015,0.036,0.033,0.036,0.017,0.09
0.081,0.117,0.026,0.096,0.039,0.071,0.071,0.086,0.045,0.201
0.124,0.174,0.038,0.155,0.061,0.106,0.105,0.129,0.077,0.285
0.141,0.196,0.041,0.183,0.075,0.121,0.11,0.143,0.103,0.303
